publication_id	user_id	title	description	pages	category	publication_date
35	12	Publication 4 of maria_sokolova_12	"Description 4 line 1
Description 4 line 2
Description 4 line 3
Description 4 line 4"	225	Business	2022-09-17
36	13	Publication 1 of alexey_morozov_13	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	816	Business	2021-09-20
37	13	Publication 2 of alexey_morozov_13	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	850	Technology	2020-12-11
38	14	Publication 1 of daria_volkova_14	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4"	49	Science	2025-12-21
39	14	Publication 2 of daria_volkova_14	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4
Description 2 line 5"	600	Technology	2025-06-20
40	14	Publication 3 of daria_volkova_14	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4
Description 3 line 5"	11	Education	2021-08-20
41	15	Publication 1 of pavel_volkova_15	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	723	Art	2020-03-07
42	15	Publication 2 of pavel_volkova_15	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4
Description 2 line 5"	703	Business	2024-12-31
43	15	Publication 3 of pavel_volkova_15	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4
Description 3 line 5"	814	Education	2020-09-25
44	16	Publication 1 of sergey_sokolova_16	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	698	Art	2021-05-07
45	16	Publication 2 of sergey_sokolova_16	"Description 2 line 1
Description 2 line 2"	260	History	2022-12-01
46	17	Publication 1 of sergey_morozov_17	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	833	Business	2025-11-03
47	17	Publication 2 of sergey_morozov_17	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4
Description 2 line 5"	693	Education	2025-11-27
48	17	Publication 3 of sergey_morozov_17	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4
Description 3 line 5"	470	Art	2026-01-08
49	17	Publication 4 of sergey_morozov_17	"Description 4 line 1
Description 4 line 2
Description 4 line 3
Description 4 line 4
Description 4 line 5"	89	Business	2025-02-23
50	18	Publication 1 of nikita_petrova_18	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	348	Education	2021-05-27
51	18	Publication 2 of nikita_petrova_18	"Description 2 line 1
Description 2 line 2"	887	Education	2024-11-30
52	18	Publication 3 of nikita_petrova_18	"Description 3 line 1
Description 3 line 2
Description 3 line 3"	509	Technology	2023-12-16
53	18	Publication 4 of nikita_petrova_18	"Description 4 line 1
Description 4 line 2
Description 4 line 3"	870	History	2022-10-01
54	19	Publication 1 of ivan_morozov_19	"Description 1 line 1
Description 1 line 2"	276	History	2025-07-12
55	20	Publication 1 of nikita_morozov_20	"Description 1 line 1
Description 1 line 2"	368	Technology	2025-05-13
56	21	Publication 1 of ivan_ivanov_21	"Description 1 line 1
Description 1 line 2"	587	Technology	2022-11-29
57	21	Publication 2 of ivan_ivanov_21	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	120	Education	2025-06-13
58	22	Publication 1 of daria_morozov_22	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	687	Art	2021-05-14
59	22	Publication 2 of daria_morozov_22	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4
Description 2 line 5"	734	Technology	2020-12-30
60	23	Publication 1 of maria_sokolova_23	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4"	471	Technology	2024-04-05
61	23	Publication 2 of maria_sokolova_23	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	826	Art	2025-06-28
62	23	Publication 3 of maria_sokolova_23	"Description 3 line 1
Description 3 line 2
Description 3 line 3"	97	Technology	2024-10-17
63	24	Publication 1 of pavel_sokolova_24	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4"	236	History	2025-12-26
64	24	Publication 2 of pavel_sokolova_24	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	445	Business	2026-01-09
65	24	Publication 3 of pavel_sokolova_24	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4"	267	Technology	2026-01-29
66	24	Publication 4 of pavel_sokolova_24	"Description 4 line 1
Description 4 line 2
Description 4 line 3"	206	Technology	2026-01-01
67	25	Publication 1 of elena_kuznetsov_25	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	290	Science	2024-03-23
68	25	Publication 2 of elena_kuznetsov_25	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	490	History	2020-10-15
69	26	Publication 1 of maria_sokolova_26	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	630	Education	2019-07-25
70	26	Publication 2 of maria_sokolova_26	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4
Description 2 line 5"	463	Art	2025-09-01
71	26	Publication 3 of maria_sokolova_26	"Description 3 line 1
Description 3 line 2
Description 3 line 3"	280	Business	2025-05-01
72	26	Publication 4 of maria_sokolova_26	"Description 4 line 1
Description 4 line 2"	170	Science	2019-08-23
73	27	Publication 1 of sergey_kuznetsov_27	"Description 1 line 1
Description 1 line 2"	567	Technology	2024-07-15
74	27	Publication 2 of sergey_kuznetsov_27	"Description 2 line 1
Description 2 line 2"	71	Technology	2024-03-24
75	27	Publication 3 of sergey_kuznetsov_27	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4
Description 3 line 5"	715	Art	2025-01-15
76	28	Publication 1 of alexey_sokolova_28	"Description 1 line 1
Description 1 line 2"	793	Business	2023-09-30
77	29	Publication 1 of olga_sokolova_29	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4"	696	Science	2025-07-23
78	29	Publication 2 of olga_sokolova_29	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4
Description 2 line 5"	843	Education	2025-07-13
79	29	Publication 3 of olga_sokolova_29	"Description 3 line 1
Description 3 line 2"	683	Education	2025-05-10
80	30	Publication 1 of alexey_volkova_30	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	283	Education	2025-09-20
81	30	Publication 2 of alexey_volkova_30	"Description 2 line 1
Description 2 line 2"	655	Education	2023-12-16
82	30	Publication 3 of alexey_volkova_30	"Description 3 line 1
Description 3 line 2"	575	History	2025-10-30
83	30	Publication 4 of alexey_volkova_30	"Description 4 line 1
Description 4 line 2"	673	Technology	2023-11-07
84	31	Publication 1 of alexey_kuznetsov_31	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4"	801	History	2024-09-09
85	31	Publication 2 of alexey_kuznetsov_31	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4
Description 2 line 5"	896	Technology	2024-05-13
86	32	Publication 1 of nikita_morozov_32	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	405	Business	2024-10-25
87	32	Publication 2 of nikita_morozov_32	"Description 2 line 1
Description 2 line 2
Description 2 line 3"	524	Education	2026-01-19
88	33	Publication 1 of anna_sokolova_33	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	334	Business	2020-06-15
89	33	Publication 2 of anna_sokolova_33	"Description 2 line 1
Description 2 line 2"	788	Business	2025-02-01
90	34	Publication 1 of olga_kuznetsov_34	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	589	Business	2021-10-21
91	35	Publication 1 of anna_morozov_35	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4"	480	Art	2026-01-26
92	35	Publication 2 of anna_morozov_35	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	611	Art	2025-09-01
93	35	Publication 3 of anna_morozov_35	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4
Description 3 line 5"	119	Technology	2025-12-16
94	35	Publication 4 of anna_morozov_35	"Description 4 line 1
Description 4 line 2"	589	Business	2025-12-05
95	36	Publication 1 of elena_sokolova_36	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	653	Science	2021-10-22
96	36	Publication 2 of elena_sokolova_36	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	817	History	2025-08-24
97	36	Publication 3 of elena_sokolova_36	"Description 3 line 1
Description 3 line 2
Description 3 line 3"	145	Education	2020-10-07
98	37	Publication 1 of olga_kuznetsov_37	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	87	Technology	2025-10-26
99	37	Publication 2 of olga_kuznetsov_37	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	102	History	2025-07-15
100	37	Publication 3 of olga_kuznetsov_37	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4"	608	History	2021-05-21
101	38	Publication 1 of anna_smirnova_38	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	727	Art	2025-02-13
102	38	Publication 2 of anna_smirnova_38	"Description 2 line 1
Description 2 line 2"	109	Technology	2025-07-24
103	38	Publication 3 of anna_smirnova_38	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4"	696	Business	2024-04-22
104	39	Publication 1 of elena_sidorov_39	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	465	Technology	2025-11-30
105	39	Publication 2 of elena_sidorov_39	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	567	Business	2025-11-07
106	39	Publication 3 of elena_sidorov_39	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4
Description 3 line 5"	292	Technology	2025-11-05
107	39	Publication 4 of elena_sidorov_39	"Description 4 line 1
Description 4 line 2
Description 4 line 3
Description 4 line 4"	259	Technology	2025-07-07
108	40	Publication 1 of alexey_smirnova_40	"Description 1 line 1
Description 1 line 2"	144	Science	2022-01-28
109	40	Publication 2 of alexey_smirnova_40	"Description 2 line 1
Description 2 line 2
Description 2 line 3"	281	Science	2024-06-09
110	40	Publication 3 of alexey_smirnova_40	"Description 3 line 1
Description 3 line 2"	472	Education	2021-11-04
111	41	Publication 1 of alexey_kuznetsov_41	"Description 1 line 1
Description 1 line 2"	339	Education	2025-11-20
112	42	Publication 1 of elena_volkova_42	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	243	History	2025-05-02
113	42	Publication 2 of elena_volkova_42	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	393	Technology	2025-03-04
114	42	Publication 3 of elena_volkova_42	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4"	841	Technology	2025-08-29
115	43	Publication 1 of alexey_volkova_43	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4"	624	Art	2024-02-11
116	43	Publication 2 of alexey_volkova_43	"Description 2 line 1
Description 2 line 2
Description 2 line 3"	168	Business	2023-04-25
117	43	Publication 3 of alexey_volkova_43	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4"	127	Art	2024-10-11
118	44	Publication 1 of alexey_ivanov_44	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	900	Technology	2025-08-18
119	45	Publication 1 of olga_ivanov_45	"Description 1 line 1
Description 1 line 2"	63	Technology	2025-02-14
120	45	Publication 2 of olga_ivanov_45	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4
Description 2 line 5"	434	Art	2024-05-22
121	45	Publication 3 of olga_ivanov_45	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4"	56	Technology	2024-07-20
122	45	Publication 4 of olga_ivanov_45	"Description 4 line 1
Description 4 line 2
Description 4 line 3
Description 4 line 4"	132	Science	2025-01-20
123	46	Publication 1 of olga_morozov_46	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	597	History	2025-12-01
124	46	Publication 2 of olga_morozov_46	"Description 2 line 1
Description 2 line 2
Description 2 line 3"	830	Education	2026-01-14
125	46	Publication 3 of olga_morozov_46	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4
Description 3 line 5"	613	History	2026-01-19
126	47	Publication 1 of nikita_smirnova_47	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4"	212	Technology	2025-11-01
127	48	Publication 1 of anna_sidorov_48	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4"	825	Art	2025-06-13
128	48	Publication 2 of anna_sidorov_48	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	529	Science	2025-03-13
129	48	Publication 3 of anna_sidorov_48	"Description 3 line 1
Description 3 line 2"	639	Education	2024-05-29
130	48	Publication 4 of anna_sidorov_48	"Description 4 line 1
Description 4 line 2
Description 4 line 3"	339	Education	2024-12-17
131	49	Publication 1 of sergey_petrova_49	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	382	Art	2019-05-21
132	49	Publication 2 of sergey_petrova_49	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	106	Education	2022-02-12
133	50	Publication 1 of elena_sidorov_50	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	668	Art	2022-11-01
134	50	Publication 2 of elena_sidorov_50	"Description 2 line 1
Description 2 line 2
Description 2 line 3"	229	Art	2020-05-06
135	51	Publication 1 of olga_sidorov_51	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	195	Business	2024-02-29
136	52	Publication 1 of sergey_ivanov_52	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	386	Business	2024-07-29
137	52	Publication 2 of sergey_ivanov_52	"Description 2 line 1
Description 2 line 2
Description 2 line 3"	846	Technology	2025-04-14
138	53	Publication 1 of ivan_sokolova_53	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	289	History	2025-01-06
139	54	Publication 1 of anna_smirnova_54	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	38	Art	2022-03-21
140	54	Publication 2 of anna_smirnova_54	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4
Description 2 line 5"	722	Technology	2022-06-22
141	54	Publication 3 of anna_smirnova_54	"Description 3 line 1
Description 3 line 2
Description 3 line 3"	865	Technology	2025-11-15
142	54	Publication 4 of anna_smirnova_54	"Description 4 line 1
Description 4 line 2
Description 4 line 3"	439	Business	2024-12-29
143	55	Publication 1 of anna_sokolova_55	"Description 1 line 1
Description 1 line 2"	639	Art	2026-01-09
144	55	Publication 2 of anna_sokolova_55	"Description 2 line 1
Description 2 line 2"	409	History	2024-09-07
145	56	Publication 1 of maria_ivanov_56	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4"	146	Science	2025-10-20
146	56	Publication 2 of maria_ivanov_56	"Description 2 line 1
Description 2 line 2
Description 2 line 3"	840	Technology	2022-09-16
147	57	Publication 1 of ivan_kuznetsov_57	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4"	47	Business	2022-01-11
148	58	Publication 1 of nikita_kuznetsov_58	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4"	830	Science	2024-08-04
149	58	Publication 2 of nikita_kuznetsov_58	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4
Description 2 line 5"	626	Technology	2024-07-04
150	58	Publication 3 of nikita_kuznetsov_58	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4"	323	History	2025-03-09
151	58	Publication 4 of nikita_kuznetsov_58	"Description 4 line 1
Description 4 line 2
Description 4 line 3
Description 4 line 4"	639	History	2025-07-04
152	59	Publication 1 of anna_morozov_59	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	78	Technology	2023-11-03
153	59	Publication 2 of anna_morozov_59	"Description 2 line 1
Description 2 line 2
Description 2 line 3"	705	History	2025-12-08
154	60	Publication 1 of elena_sidorov_60	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	521	Education	2025-10-04
155	60	Publication 2 of elena_sidorov_60	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4
Description 2 line 5"	214	Science	2024-04-14
156	60	Publication 3 of elena_sidorov_60	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4
Description 3 line 5"	186	Business	2022-11-16
157	61	Publication 1 of nikita_volkova_61	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	134	Technology	2022-02-02
158	61	Publication 2 of nikita_volkova_61	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	577	Education	2020-04-13
159	61	Publication 3 of nikita_volkova_61	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4
Description 3 line 5"	548	History	2022-11-12
160	62	Publication 1 of anna_sidorov_62	"Description 1 line 1
Description 1 line 2"	861	Science	2025-11-09
161	62	Publication 2 of anna_sidorov_62	"Description 2 line 1
Description 2 line 2
Description 2 line 3"	340	Business	2025-12-06
162	62	Publication 3 of anna_sidorov_62	"Description 3 line 1
Description 3 line 2
Description 3 line 3"	660	Education	2025-07-09
163	62	Publication 4 of anna_sidorov_62	"Description 4 line 1
Description 4 line 2"	524	Business	2025-08-03
164	63	Publication 1 of olga_sidorov_63	"Description 1 line 1
Description 1 line 2"	93	Science	2025-10-16
165	63	Publication 2 of olga_sidorov_63	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	667	Art	2025-11-25
166	63	Publication 3 of olga_sidorov_63	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4
Description 3 line 5"	84	Business	2025-09-05
167	64	Publication 1 of sergey_sokolova_64	"Description 1 line 1
Description 1 line 2"	336	Technology	2023-07-27
168	64	Publication 2 of sergey_sokolova_64	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	470	Technology	2024-06-06
169	65	Publication 1 of daria_morozov_65	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	520	Art	2021-12-02
170	65	Publication 2 of daria_morozov_65	"Description 2 line 1
Description 2 line 2"	412	Education	2025-05-15
171	65	Publication 3 of daria_morozov_65	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4"	59	Science	2024-12-01
172	66	Publication 1 of sergey_kuznetsov_66	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	62	Education	2019-08-05
173	66	Publication 2 of sergey_kuznetsov_66	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	85	History	2024-05-23
174	66	Publication 3 of sergey_kuznetsov_66	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4"	823	Art	2023-09-30
175	66	Publication 4 of sergey_kuznetsov_66	"Description 4 line 1
Description 4 line 2"	56	Science	2024-05-06
176	67	Publication 1 of alexey_sokolova_67	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	735	Education	2025-04-04
177	67	Publication 2 of alexey_sokolova_67	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	825	Business	2025-03-21
178	68	Publication 1 of sergey_kuznetsov_68	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	161	Business	2025-10-31
179	69	Publication 1 of anna_smirnova_69	"Description 1 line 1
Description 1 line 2"	732	Technology	2023-10-18
180	69	Publication 2 of anna_smirnova_69	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4
Description 2 line 5"	548	History	2025-11-08
181	69	Publication 3 of anna_smirnova_69	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4"	569	Art	2024-09-14
182	69	Publication 4 of anna_smirnova_69	"Description 4 line 1
Description 4 line 2
Description 4 line 3
Description 4 line 4"	731	Technology	2024-06-05
183	70	Publication 1 of sergey_volkova_70	"Description 1 line 1
Description 1 line 2"	364	History	2024-04-13
184	71	Publication 1 of pavel_smirnova_71	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	258	Science	2021-10-23
185	71	Publication 2 of pavel_smirnova_71	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4
Description 2 line 5"	112	Business	2024-10-17
186	71	Publication 3 of pavel_smirnova_71	"Description 3 line 1
Description 3 line 2
Description 3 line 3"	426	Business	2025-05-12
187	72	Publication 1 of maria_volkova_72	"Description 1 line 1
Description 1 line 2"	189	History	2026-01-17
188	73	Publication 1 of daria_sokolova_73	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	289	Technology	2022-12-02
189	74	Publication 1 of sergey_kuznetsov_74	"Description 1 line 1
Description 1 line 2"	199	Technology	2023-05-25
190	74	Publication 2 of sergey_kuznetsov_74	"Description 2 line 1
Description 2 line 2
Description 2 line 3"	467	Art	2025-06-10
191	74	Publication 3 of sergey_kuznetsov_74	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4"	679	Art	2023-10-14
192	75	Publication 1 of anna_sokolova_75	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	499	Technology	2021-02-08
193	75	Publication 2 of anna_sokolova_75	"Description 2 line 1
Description 2 line 2"	548	History	2024-11-22
194	75	Publication 3 of anna_sokolova_75	"Description 3 line 1
Description 3 line 2
Description 3 line 3"	596	Education	2025-09-18
195	76	Publication 1 of sergey_petrova_76	"Description 1 line 1
Description 1 line 2"	582	History	2026-01-10
196	77	Publication 1 of ivan_morozov_77	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	42	Art	2018-07-17
197	78	Publication 1 of daria_volkova_78	"Description 1 line 1
Description 1 line 2
Description 1 line 3"	755	Technology	2023-06-25
198	78	Publication 2 of daria_volkova_78	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	484	Business	2023-01-19
199	78	Publication 3 of daria_volkova_78	"Description 3 line 1
Description 3 line 2
Description 3 line 3"	292	Technology	2026-01-31
200	78	Publication 4 of daria_volkova_78	"Description 4 line 1
Description 4 line 2
Description 4 line 3
Description 4 line 4
Description 4 line 5"	639	Science	2023-08-31
201	79	Publication 1 of elena_ivanov_79	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	459	Technology	2025-01-17
202	80	Publication 1 of olga_kuznetsov_80	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4
Description 1 line 5"	317	Art	2025-02-14
203	80	Publication 2 of olga_kuznetsov_80	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4
Description 2 line 5"	814	Education	2024-08-18
204	80	Publication 3 of olga_kuznetsov_80	"Description 3 line 1
Description 3 line 2
Description 3 line 3
Description 3 line 4
Description 3 line 5"	256	Technology	2025-05-09
205	81	Publication 1 of sergey_ivanov_81	"Description 1 line 1
Description 1 line 2
Description 1 line 3
Description 1 line 4"	672	Science	2024-10-21
206	81	Publication 2 of sergey_ivanov_81	"Description 2 line 1
Description 2 line 2
Description 2 line 3
Description 2 line 4"	396	Business	2025-02-24
207	82	Publication 1 of pavel_smirnova_82	"Description 1 line 1
Description 1 line 2"	774	History	2020-07-06
